Manufacturer,Model,Price,Gear,Hand,Capacity_engine,Engine_type,Km,Color,Prev_ownership,Curr_ownership,Area,City,Year,Pic_num,Cre_date,Repub_date,Description,Test
סקודה,סופרב,122000 ,אוטומטית,2,1500,בנזין,70000,לבן פנינה,פרטית,פרטית,טבריה והסביבה,גבעת אבני,2021,8,2024-08-06,2024-12-06,"סקודה סופרב שנת 3/2021, 
דגם אמבישן, 150 כ""ס,מנוע 1500
טסט ל-10 חודשים, 
יד שניה (הכל פרטי)
70 אלף קילומטר
שמורה בקנאות!!!!
ציפוי ננו, חלונות שחורים, פוינטר מלא,מוביליי, שטיחים ועוד 4 צמיגים חדשים
תוספות. מגיע כל יום לאזור המרכז. לא בשבת!!!",291
סקודה,אוקטביה,50000 ,אוטומטית,2,2000,דיזל,155000,לבן,מונית,פרטית,אשדוד - אשקלון,אשדוד,2018,2,2024-11-06,2024-11-06,"סקודה אוקטביה 2018 מונית שעבר 155,000 ק״מ הרכב במצב מצויין מקבל רכב מהעבודה ביגלל זה מוכר",79
סקודה,אוקטביה ספייס,65000 ,אוטומטית,2,1500,בנזין,170000,לבן,חברה,פרטית,"ראשל""צ והסביבה",באר יעקב,2019,4,2024-05-24,2024-05-24,"המנוע הכי מוצלח 1.5 עם 150 כ''ס סטיישן רכב מעולה עשה 165 אלף נמכר עקב מעבר לחשמלי חסכוני מאוד עושה 1-17 עבר טיפול לפני חודש יש ספר טיםולים מלא מההתחלה מטופל כמו שעון.
גמיש לא בשבת.",79
סקודה,אוקטביה,116000 ,אוטומטית,2,1800,בנזין,57000,שחור,פרטית,פרטית,ראש העין והסביבה,ראש העין,2019,6,2024-01-05,2024-01-05,סקודה קארוק סטייל שחורה נדירה. קילומטר נמוך מאוד. שמורה. כל הקודם זוכה. נמכרת עקב קבלת החלטות רכב עבודה,201
סקודה,אוקטביה,65000 ,אוטומטית,1,1400,בנזין,,לבן,פרטית,פרטית,חולון - בת ים,בת ים,2018,5,2023-10-09,2024-11-03,"שמורה היטה! במצב מעולה
ללא תאונות רכב מפנק במיוחד",
סקודה,אוקטביה,121000 ,אוטומטית,1,1000,בנזין,43000,שחור,פרטית,פרטית,אשדוד - אשקלון,אשקלון,2021,3,2024-01-15,2024-01-15,"למכירה עקב שדרוג לרכב חדש יותר סקודה אוקטביה 2021 יד 1 פרטית מנוע 1000 TSI אוטומט 110 כוחות סוס מטופלת בחברה עברה 43,000 ק״מ מחירון 123,000 דורש 121,000 לעוד פרטים בפרטי",140
סקודה,אוקטביה,83000 ,אוטומטית,1,1400,בנזין,110000,אפור מטאלי,ליסינג,פרטית,אשדוד - אשקלון,אשדוד,2018,1,2024-07-01,2024-07-01,"רכב חסכוני ומהיר מרווח מאוד , גמיש במחיר , מצב מצויין מתחייב על הכל",
סקודה,סופרב,100000 ,אוטומטית,2,2000,בנזין,128000,אפור מטאלי,פרטית,פרטית,גליל ועמקים,נצרת,2017,9,2024-02-01,2024-02-01,"SKODA SUPERB L&K 4x2
שנת 2017 , יד 01 פרטית , רכב במצב חדש שמור מאוד מטופל במוסך מורשה מגיע עם כל התוספות שיש , גג פנורמי מושבים חשמליים , זכרון מושבים ,חיישנים 360, מצלמת רוורס , חנייה אוטומטית , קאר פלי , פנסי ערפל , תאורה אווירה , הנעה ללא מפתח , 6 מצב נהיגה , שליטה מלאה מההגה , חימום כיסאות ועוד מלא תוספות .",260
סקודה,אוקטביה,69000 ,אוטומטית,3,1000,בנזין,109800,אפור מטאלי,ליסינג,פרטית,גדרה יבנה והסביבה,גדרה,2019,5,2023-12-31,2023-12-31,"אוטו שמור, ללא תאונות, טסט לשנה, אחרי טיפול 115 אלף ברקסים חדשים.",
סקודה,סופרב,7800 ,אוטומטית,4,1500,בנזין,128000,שחור,פרטית,פרטית,גליל ועמקים,יוקנעם עילית,2019,3,2023-12-23,2023-12-23,רכב מפנק מאוד אם מפתח חכם מסך גדול וואייז והכול מובנה מצלמת רוורס מנוע 1500 החדש חסכוני מאוד אפס תקלות לדגם הזה מחיר מציאה מיתחת למחירון .טיפול כול 10 אלף שמן של כסטרול וחלפים מקוריים לרציניים לא בשבת,79
סקודה,אוקטביה,68000 ,אוטומטית,2,1000,בנזין,139000,אפור,פרטית,פרטית,גליל ועמקים,שפרעם,2017,6,2024-04-22,2024-04-22,"רכב שמור מאוד ומטופל בזמן 
4 צמיגים חדשים 
דגם סטייל",140
סקודה,אוקטביה,1199 ,אוטומטית,1,1500,בנזין,105000,שחור,ליסינג,ליסינג,נס ציונה - רחובות,רחובות,2019,6,2023-07-17,2023-09-11,"סקודה אוקטביה שנת 2019 יד ראשונה עם 105 אלף קמ
רכב עם ספר טיפולים נקי ושמור

התחייבות בבדיקה מלאה
אפשרות לטרייד אין ולמימון מלא ללא מקדמה",
סקודה,אוקטביה,160500 ,אוטומטית,2,1500,בנזין,55000,אפור עכבר,פרטית,פרטית,נתניה והסביבה,נתניה,2020,10,2023-02-10,2023-04-10,סקודה קודיאק דגם S-style מפואר 7 מקומות 2020,
סקודה,אוקטביה,90000 ,אוטומטית,2,2000,בנזין,142,שחור,פרטית,פרטית,הוד השרון והסביבה,הוד השרון,2019,5,2023-08-16,2023-04-10,"יד שנייה פרטית,נהג יחיד
מודל 2019
ק""מ 142000
טסט ל 10 חודשים
תוספות רבות:
גאנטים של RS
חלונות כהים
ריפודי עור
פנסי לד
מערכת שמע משוכללת
מחיר 90000 ש""ח
לפרטים נוספים
טל 0537461435",79
סקודה,אוקטביה,,אוטומטית,1,1500,בנזין,155200,שחור,ליסינג,ליסינג,גליל ועמקים,שפרעם,2020,5,2023-11-12,2024-04-04,,
סקודה,אוקטביה,,אוטומטית,1,1000,בנזין,146000,שחור,ליסינג,ליסינג,גליל ועמקים,שפרעם,2019,6,2023-11-12,2024-04-04,,
סקודה,פאביה,45000 ,אוטומטית,2,1000,בנזין,150000,כחול,פרטית,פרטית,טבריה והסביבה,מגאר,2017,4,2023-12-09,2023-12-09,...,
סקודה,אוקטביה,180000 ,אוטומטית,1,1500,בנזין,10000,שחור,פרטית,פרטית,גליל ועמקים,נצרת,2023,6,2023-07-21,2023-07-21,רכב חדש,
סקודה,אוקטביה,180000 ,אוטומטית,1,1500,בנזין,10000,שחור,פרטית,פרטית,גליל ועמקים,נצרת,2023,1,2023-07-21,2023-07-21,רכב חדש לרצנים,
סקודה,אוקטביה RS,111111 ,אוטומטית,1,2000,בנזין,15000,לבן מטאלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,2022,3,2024-03-19,2024-03-19,רכב שמור כמו חדש,170
